"","score1","score2","score3","score4","mean"
"148",0,0.1,0.4,-0.4,0.025
"149",0,0.1,0,-0.3,-0.05
"150",-0.5,-0.2,-1,-1,-0.675
"151",0.25,0.2,-0.3,-0.2,-0.0125
"152",-0.25,0,-0.5,-0.3,-0.2625
"153",0,0.5,0.8,0.6,0.475
"154",0,-0.2,0.5,-0.1,0.05
"155",0,0,0,0,0
"156",0,0,0.5,0.2,0.175
"157",0.75,0.4,1,0.6,0.6875
"158",0,-0.2,-0.7,-0.3,-0.3
"159",0,0.1,0.6,0.7,0.35
"160",-0.25,-0.4,-0.8,-0.8,-0.5625
"161",0,0,0,0,0
"162",0,0,0,0,0
"163",0.75,0.1,1,0.5,0.5875
"164",0,-0.4,-0.2,-0.5,-0.275
"165",0,0.5,-0.4,0.5,0.15
"166",0,0,0,0,0
"167",1,0.7,1,0.9,0.9
"168",0,0,-0.1,0.2,0.025
"169",0,-0.2,-0.4,-0.5,-0.275
"170",0,0.4,0.5,0.2,0.275
"171",0.25,0.2,0.7,-0.3,0.2125
"172",0,0.1,0,0,0.025
"173",0,-0.2,-0.2,0,-0.1
"174",0,0.2,-1,-1,-0.45
"175",0,-0.4,-0.8,-0.9,-0.525
"176",-0.5,-0.6,-1,-1,-0.775
"177",-0.25,-0.2,-0.8,-0.4,-0.4125
"178",0,0,0,0,0
"179",0.75,0.6,1,-0.7,0.4125
"180",0,0.1,-0.1,0,0
"181",0,0.2,-0.4,0.3,0.025
"182",0.75,0.8,1,0.7,0.8125
"183",0,0.5,0.8,0.4,0.425
"184",0,-0.1,-0.6,0.6,-0.025
"185",0,-0.1,-0.3,0,-0.1
"186",-0.5,-0.1,-0.6,-0.2,-0.35
"187",-1,-0.7,-1,-1,-0.925
"188",0,0,-0.3,-0.1,-0.1
"189",0.25,0.3,1,1,0.6375
"190",-0.25,0.3,-0.2,1,0.2125
"191",0,0,-0.4,-0.3,-0.175
"192",0,-0.2,0,0.7,0.125
"193",0,-0.1,-0.2,-0.9,-0.3
"194",0,0,0,0,0
"195",0,-0.1,-0.8,-1,-0.475
"196",0,0.3,-0.4,0,-0.025
"197",0.5,0.2,0.8,0.7,0.55
"198",-0.5,0.5,-0.7,0.8,0.025
"199",0,0.1,0.8,0.4,0.325
"200",0.25,0.3,1,0.5,0.5125
"201",0,0.1,-0.2,0.9,0.2
"202",0,-0.3,-0.6,0.6,-0.075
"203",0,0,0,0,0
"204",-1,-0.5,-1,-1,-0.875
"205",0,-0.4,-0.8,-0.5,-0.425
"206",0.25,0.3,1,0.6,0.5375
"207",0,0.2,0,-0.3,-0.025
"208",0,0,0,0,0
"209",0,0.3,-0.5,0.4,0.05
"210",-0.25,-0.4,-0.7,-0.3,-0.4125
"211",0,-0.3,-0.4,-0.6,-0.325
"212",0,0.1,0.8,0,0.225
"213",0,0.3,0.4,0,0.175
"214",0,0.1,-0.8,-0.9,-0.4
"215",-0.25,0,-0.6,-0.7,-0.3875
"216",0.75,0.7,1,1,0.8625
"217",0,0.3,-0.6,-0.8,-0.275
"218",0,0,0,0,0
"219",0,0,0,0,0
"220",0,-0.3,-0.1,-0.3,-0.175
"221",0,-0.5,-0.1,-0.5,-0.275
"222",-0.5,-0.3,-0.7,-0.4,-0.475
"223",0,0,0,0,0
"224",0,-0.7,0,-0.5,-0.3
"225",0,-0.4,0.9,-0.6,-0.025
"226",-0.75,-0.4,-0.9,-1,-0.7625
"227",0,0,0,0,0
"228",-0.25,0.1,-0.7,0.5,-0.0875
"229",0.25,0.6,0.4,1,0.5625
"230",0.75,0.5,1,1,0.8125
"231",0.25,0.6,1,1,0.7125
"232",0,0.6,-0.8,0.8,0.15
"233",-0.5,0.1,-0.6,-0.8,-0.45
"234",-0.25,-0.4,-0.7,-0.6,-0.4875
"235",0,0,0,0,0
"236",-0.25,0.2,-1,-0.8,-0.4625
"237",0.75,0.5,1,1,0.8125
"238",0,0,0,0,0
"239",0,0,-0.3,-0.4,-0.175
